state,county,STCODE,CTYCODE,year,cases,fips
Alabama,Autauga County,1,1,2000,0,1001
Alabama,Baldwin County,1,3,2000,1,1003
Alabama,Barbour County,1,5,2000,0,1005
Alabama,Bibb County,1,7,2000,0,1007
Alabama,Blount County,1,9,2000,0,1009
Alabama,Bullock County,1,11,2000,0,1011
Alabama,Butler County,1,13,2000,0,1013
Alabama,Calhoun County,1,15,2000,0,1015
Alabama,Chambers County,1,17,2000,0,1017
Alabama,Cherokee County,1,19,2000,0,1019
Alabama,Chilton County,1,21,2000,0,1021
Alabama,Choctaw County,1,23,2000,0,1023
Alabama,Clarke County,1,25,2000,0,1025
Alabama,Clay County,1,27,2000,0,1027
Alabama,Cleburne County,1,29,2000,0,1029
Alabama,Coffee County,1,31,2000,0,1031
Alabama,Colbert County,1,33,2000,0,1033
Alabama,Conecuh County,1,35,2000,0,1035
Alabama,Coosa County,1,37,2000,0,1037
Alabama,Covington County,1,39,2000,0,1039
Alabama,Crenshaw County,1,41,2000,0,1041
Alabama,Cullman County,1,43,2000,0,1043
Alabama,Dale County,1,45,2000,0,1045
Alabama,Dallas County,1,47,2000,0,1047
Alabama,DeKalb County,1,49,2000,0,1049
Alabama,Elmore County,1,51,2000,1,1051
Alabama,Escambia County,1,53,2000,0,1053
Alabama,Etowah County,1,55,2000,0,1055
Alabama,Fayette County,1,57,2000,0,1057
Alabama,Franklin County,1,59,2000,0,1059
Alabama,Geneva County,1,61,2000,0,1061
Alabama,Greene County,1,63,2000,0,1063
Alabama,Hale County,1,65,2000,0,1065
Alabama,Henry County,1,67,2000,0,1067
Alabama,Houston County,1,69,2000,0,1069
Alabama,Jackson County,1,71,2000,0,1071
Alabama,Jefferson County,1,73,2000,1,1073
Alabama,Lamar County,1,75,2000,0,1075
Alabama,Lauderdale County,1,77,2000,0,1077
Alabama,Lawrence County,1,79,2000,0,1079
Alabama,Lee County,1,81,2000,0,1081
Alabama,Limestone County,1,83,2000,0,1083
Alabama,Lowndes County,1,85,2000,0,1085
Alabama,Macon County,1,87,2000,0,1087
Alabama,Madison County,1,89,2000,0,1089
Alabama,Marengo County,1,91,2000,0,1091
Alabama,Marion County,1,93,2000,0,1093
Alabama,Marshall County,1,95,2000,0,1095
Alabama,Mobile County,1,97,2000,2,1097
Alabama,Monroe County,1,99,2000,0,1099
Alabama,Montgomery County,1,101,2000,0,1101
Alabama,Morgan County,1,103,2000,0,1103
Alabama,Perry County,1,105,2000,0,1105
Alabama,Pickens County,1,107,2000,0,1107
Alabama,Pike County,1,109,2000,0,1109
Alabama,Randolph County,1,111,2000,0,1111
Alabama,Russell County,1,113,2000,0,1113
Alabama,St. Clair County,1,115,2000,0,1115
Alabama,Shelby County,1,117,2000,0,1117
Alabama,Sumter County,1,119,2000,0,1119
Alabama,Talladega County,1,121,2000,0,1121
Alabama,Tallapoosa County,1,123,2000,0,1123
Alabama,Tuscaloosa County,1,125,2000,1,1125
Alabama,Walker County,1,127,2000,0,1127
Alabama,Washington County,1,129,2000,0,1129
Alabama,Wilcox County,1,131,2000,0,1131
Alabama,Winston County,1,133,2000,0,1133
Alabama,Alabama,1,999,2000,0,1999
Alaska,Aleutians East Borough,2,13,2000,0,2013
Alaska,Aleutians West Census Area,2,16,2000,0,2016
Alaska,Anchorage Municipality,2,20,2000,1,2020
Alaska,Bethel Census Area,2,50,2000,0,2050
Alaska,Bristol Bay Borough,2,60,2000,0,2060
Alaska,Denali Borough,2,68,2000,0,2068
Alaska,Dillingham Census Area,2,70,2000,0,2070
Alaska,Fairbanks North Star Borough,2,90,2000,1,2090
Alaska,Haines Borough,2,100,2000,0,2100
Alaska,Hoonah-Angoon Census Area,2,105,2000,0,2105
