STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Alabama,Autauga County,1,1,Cases2000,0
Alabama,Baldwin County,1,3,Cases2000,1
Alabama,Barbour County,1,5,Cases2000,0
Alabama,Bibb County,1,7,Cases2000,0
Alabama,Blount County,1,9,Cases2000,0
Alabama,Bullock County,1,11,Cases2000,0
Alabama,Butler County,1,13,Cases2000,0
Alabama,Calhoun County,1,15,Cases2000,0
Alabama,Chambers County,1,17,Cases2000,0
Alabama,Cherokee County,1,19,Cases2000,0
Alabama,Chilton County,1,21,Cases2000,0
Alabama,Choctaw County,1,23,Cases2000,0
Alabama,Clarke County,1,25,Cases2000,0
Alabama,Clay County,1,27,Cases2000,0
Alabama,Cleburne County,1,29,Cases2000,0
Alabama,Coffee County,1,31,Cases2000,0
Alabama,Colbert County,1,33,Cases2000,0
Alabama,Conecuh County,1,35,Cases2000,0
Alabama,Coosa County,1,37,Cases2000,0
Alabama,Covington County,1,39,Cases2000,0
Alabama,Crenshaw County,1,41,Cases2000,0
Alabama,Cullman County,1,43,Cases2000,0
Alabama,Dale County,1,45,Cases2000,0
Alabama,Dallas County,1,47,Cases2000,0
Alabama,DeKalb County,1,49,Cases2000,0
Alabama,Elmore County,1,51,Cases2000,1
Alabama,Escambia County,1,53,Cases2000,0
Alabama,Etowah County,1,55,Cases2000,0
Alabama,Fayette County,1,57,Cases2000,0
Alabama,Franklin County,1,59,Cases2000,0
Alabama,Geneva County,1,61,Cases2000,0
Alabama,Greene County,1,63,Cases2000,0
Alabama,Hale County,1,65,Cases2000,0
Alabama,Henry County,1,67,Cases2000,0
Alabama,Houston County,1,69,Cases2000,0
Alabama,Jackson County,1,71,Cases2000,0
Alabama,Jefferson County,1,73,Cases2000,1
Alabama,Lamar County,1,75,Cases2000,0
Alabama,Lauderdale County,1,77,Cases2000,0
Alabama,Lawrence County,1,79,Cases2000,0
Alabama,Lee County,1,81,Cases2000,0
Alabama,Limestone County,1,83,Cases2000,0
Alabama,Lowndes County,1,85,Cases2000,0
Alabama,Macon County,1,87,Cases2000,0
Alabama,Madison County,1,89,Cases2000,0
Alabama,Marengo County,1,91,Cases2000,0
Alabama,Marion County,1,93,Cases2000,0
Alabama,Marshall County,1,95,Cases2000,0
Alabama,Mobile County,1,97,Cases2000,2
Alabama,Monroe County,1,99,Cases2000,0
Alabama,Montgomery County,1,101,Cases2000,0
Alabama,Morgan County,1,103,Cases2000,0
Alabama,Perry County,1,105,Cases2000,0
Alabama,Pickens County,1,107,Cases2000,0
Alabama,Pike County,1,109,Cases2000,0
Alabama,Randolph County,1,111,Cases2000,0
Alabama,Russell County,1,113,Cases2000,0
Alabama,St. Clair County,1,115,Cases2000,0
Alabama,Shelby County,1,117,Cases2000,0
Alabama,Sumter County,1,119,Cases2000,0
Alabama,Talladega County,1,121,Cases2000,0
Alabama,Tallapoosa County,1,123,Cases2000,0
Alabama,Tuscaloosa County,1,125,Cases2000,1
Alabama,Walker County,1,127,Cases2000,0
Alabama,Washington County,1,129,Cases2000,0
Alabama,Wilcox County,1,131,Cases2000,0
Alabama,Winston County,1,133,Cases2000,0
Alabama,Alabama,1,999,Cases2000,0
Alaska,Aleutians East Borough,2,13,Cases2000,0
Alaska,Aleutians West Census Area,2,16,Cases2000,0
Alaska,Anchorage Municipality,2,20,Cases2000,1
Alaska,Bethel Census Area,2,50,Cases2000,0
Alaska,Bristol Bay Borough,2,60,Cases2000,0
Alaska,Denali Borough,2,68,Cases2000,0
Alaska,Dillingham Census Area,2,70,Cases2000,0
Alaska,Fairbanks North Star Borough,2,90,Cases2000,1
Alaska,Haines Borough,2,100,Cases2000,0
Alaska,Hoonah-Angoon Census Area,2,105,Cases2000,0
Alaska,Juneau City and Borough,2,110,Cases2000,0
Alaska,Kenai Peninsula Borough,2,122,Cases2000,0
Alaska,Ketchikan Gateway Borough,2,130,Cases2000,0
Alaska,Kodiak Island Borough,2,150,Cases2000,0
Alaska,Lake and Peninsula Borough,2,164,Cases2000,0
Alaska,Matanuska-Susitna Borough,2,170,Cases2000,0
Alaska,Nome Census Area,2,180,Cases2000,0
Alaska,North Slope Borough,2,185,Cases2000,0
Alaska,Northwest Arctic Borough,2,188,Cases2000,0
Alaska,Petersburg Census Area,2,195,Cases2000,0
Alaska,Prince of Wales-Hyder Census Area,2,198,Cases2000,0
Alaska,Sitka City and Borough,2,220,Cases2000,0
Alaska,Skagway Municipality,2,230,Cases2000,0
Alaska,Southeast Fairbanks Census Area,2,240,Cases2000,0
Alaska,Valdez-Cordova Census Area,2,261,Cases2000,0
Alaska,Wade Hampton Census Area,2,270,Cases2000,0
Alaska,Wrangell City and Borough,2,275,Cases2000,0
Alaska,Yakutat City and Borough,2,282,Cases2000,0
Alaska,Yukon-Koyukuk Census Area,2,290,Cases2000,0
Alaska,Alaska,2,999,Cases2000,0
Arizona,Apache County,4,1,Cases2000,0
Arizona,Cochise County,4,3,Cases2000,0
Arizona,Coconino County,4,5,Cases2000,0
Arizona,Gila County,4,7,Cases2000,0
Arizona,Graham County,4,9,Cases2000,0
Arizona,Greenlee County,4,11,Cases2000,0
Arizona,La Paz County,4,12,Cases2000,0
Arizona,Maricopa County,4,13,Cases2000,1
Arizona,Mohave County,4,15,Cases2000,0
Arizona,Navajo County,4,17,Cases2000,0
Arizona,Pima County,4,19,Cases2000,0
Arizona,Pinal County,4,21,Cases2000,1
Arizona,Santa Cruz County,4,23,Cases2000,0
Arizona,Yavapai County,4,25,Cases2000,0
Arizona,Yuma County,4,27,Cases2000,0
Arizona,Arizona,4,999,Cases2000,0
Arkansas,Arkansas County,5,1,Cases2000,0
Arkansas,Ashley County,5,3,Cases2000,0
Arkansas,Baxter County,5,5,Cases2000,0
Arkansas,Benton County,5,7,Cases2000,1
Arkansas,Boone County,5,9,Cases2000,0
Arkansas,Bradley County,5,11,Cases2000,0
Arkansas,Calhoun County,5,13,Cases2000,0
Arkansas,Carroll County,5,15,Cases2000,0
Arkansas,Chicot County,5,17,Cases2000,0
Arkansas,Clark County,5,19,Cases2000,0
Arkansas,Clay County,5,21,Cases2000,0
Arkansas,Cleburne County,5,23,Cases2000,0
Arkansas,Cleveland County,5,25,Cases2000,0
Arkansas,Columbia County,5,27,Cases2000,0
Arkansas,Conway County,5,29,Cases2000,0
Arkansas,Craighead County,5,31,Cases2000,0
Arkansas,Crawford County,5,33,Cases2000,0
Arkansas,Crittenden County,5,35,Cases2000,0
Arkansas,Cross County,5,37,Cases2000,0
Arkansas,Dallas County,5,39,Cases2000,0
Arkansas,Desha County,5,41,Cases2000,0
Arkansas,Drew County,5,43,Cases2000,0
