STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Alabama,Autauga County,1,1,2000,0
Alabama,Baldwin County,1,3,2000,1
Alabama,Barbour County,1,5,2000,0
Alabama,Bibb County,1,7,2000,0
Alabama,Blount County,1,9,2000,0
Alabama,Bullock County,1,11,2000,0
Alabama,Butler County,1,13,2000,0
Alabama,Calhoun County,1,15,2000,0
Alabama,Chambers County,1,17,2000,0
Alabama,Cherokee County,1,19,2000,0
Alabama,Chilton County,1,21,2000,0
Alabama,Choctaw County,1,23,2000,0
Alabama,Clarke County,1,25,2000,0
Alabama,Clay County,1,27,2000,0
Alabama,Cleburne County,1,29,2000,0
Alabama,Coffee County,1,31,2000,0
Alabama,Colbert County,1,33,2000,0
Alabama,Conecuh County,1,35,2000,0
Alabama,Coosa County,1,37,2000,0
Alabama,Covington County,1,39,2000,0
Alabama,Crenshaw County,1,41,2000,0
Alabama,Cullman County,1,43,2000,0
Alabama,Dale County,1,45,2000,0
Alabama,Dallas County,1,47,2000,0
Alabama,DeKalb County,1,49,2000,0
Alabama,Elmore County,1,51,2000,1
Alabama,Escambia County,1,53,2000,0
Alabama,Etowah County,1,55,2000,0
Alabama,Fayette County,1,57,2000,0
Alabama,Franklin County,1,59,2000,0
Alabama,Geneva County,1,61,2000,0
Alabama,Greene County,1,63,2000,0
Alabama,Hale County,1,65,2000,0
Alabama,Henry County,1,67,2000,0
Alabama,Houston County,1,69,2000,0
Alabama,Jackson County,1,71,2000,0
Alabama,Jefferson County,1,73,2000,1
Alabama,Lamar County,1,75,2000,0
Alabama,Lauderdale County,1,77,2000,0
Alabama,Lawrence County,1,79,2000,0
Alabama,Lee County,1,81,2000,0
Alabama,Limestone County,1,83,2000,0
Alabama,Lowndes County,1,85,2000,0
Alabama,Macon County,1,87,2000,0
Alabama,Madison County,1,89,2000,0
Alabama,Marengo County,1,91,2000,0
Alabama,Marion County,1,93,2000,0
Alabama,Marshall County,1,95,2000,0
Alabama,Mobile County,1,97,2000,2
Alabama,Monroe County,1,99,2000,0
Alabama,Montgomery County,1,101,2000,0
Alabama,Morgan County,1,103,2000,0
Alabama,Perry County,1,105,2000,0
Alabama,Pickens County,1,107,2000,0
Alabama,Pike County,1,109,2000,0
Alabama,Randolph County,1,111,2000,0
Alabama,Russell County,1,113,2000,0
Alabama,St. Clair County,1,115,2000,0
Alabama,Shelby County,1,117,2000,0
Alabama,Sumter County,1,119,2000,0
Alabama,Talladega County,1,121,2000,0
Alabama,Tallapoosa County,1,123,2000,0
Alabama,Tuscaloosa County,1,125,2000,1
Alabama,Walker County,1,127,2000,0
Alabama,Washington County,1,129,2000,0
Alabama,Wilcox County,1,131,2000,0
Alabama,Winston County,1,133,2000,0
Alabama,Alabama,1,999,2000,0
Alaska,Aleutians East Borough,2,13,2000,0
Alaska,Aleutians West Census Area,2,16,2000,0
Alaska,Anchorage Municipality,2,20,2000,1
Alaska,Bethel Census Area,2,50,2000,0
Alaska,Bristol Bay Borough,2,60,2000,0
Alaska,Denali Borough,2,68,2000,0
Alaska,Dillingham Census Area,2,70,2000,0
Alaska,Fairbanks North Star Borough,2,90,2000,1
Alaska,Haines Borough,2,100,2000,0
Alaska,Hoonah-Angoon Census Area,2,105,2000,0
Alaska,Juneau City and Borough,2,110,2000,0
Alaska,Kenai Peninsula Borough,2,122,2000,0
Alaska,Ketchikan Gateway Borough,2,130,2000,0
Alaska,Kodiak Island Borough,2,150,2000,0
Alaska,Lake and Peninsula Borough,2,164,2000,0
Alaska,Matanuska-Susitna Borough,2,170,2000,0
Alaska,Nome Census Area,2,180,2000,0
Alaska,North Slope Borough,2,185,2000,0
Alaska,Northwest Arctic Borough,2,188,2000,0
Alaska,Petersburg Census Area,2,195,2000,0
Alaska,Prince of Wales-Hyder Census Area,2,198,2000,0
Alaska,Sitka City and Borough,2,220,2000,0
