state,county,year,cases,fips,size
Alabama,Autauga County,2000,0,1001,43872
Alabama,Baldwin County,2000,1,1003,141358
Alabama,Barbour County,2000,0,1005,29035
Alabama,Bibb County,2000,0,1007,19936
Alabama,Blount County,2000,0,1009,51181
Alabama,Bullock County,2000,0,1011,11604
Alabama,Butler County,2000,0,1013,21313
Alabama,Calhoun County,2000,0,1015,111342
Alabama,Chambers County,2000,0,1017,36593
Alabama,Cherokee County,2000,0,1019,24053
Alabama,Chilton County,2000,0,1021,39781
Alabama,Choctaw County,2000,0,1023,15850
Alabama,Clarke County,2000,0,1025,27833
Alabama,Clay County,2000,0,1027,14264
Alabama,Cleburne County,2000,0,1029,14156
Alabama,Coffee County,2000,0,1031,43540
Alabama,Colbert County,2000,0,1033,55024
Alabama,Conecuh County,2000,0,1035,14040
Alabama,Coosa County,2000,0,1037,11843
Alabama,Covington County,2000,0,1039,37490
Alabama,Crenshaw County,2000,0,1041,13696
Alabama,Cullman County,2000,0,1043,77580
Alabama,Dale County,2000,0,1045,49068
Alabama,Dallas County,2000,0,1047,46181
Alabama,DeKalb County,2000,0,1049,64638
Alabama,Elmore County,2000,1,1051,66230
Alabama,Escambia County,2000,0,1053,38402
Alabama,Etowah County,2000,0,1055,103313
Alabama,Fayette County,2000,0,1057,18456
Alabama,Franklin County,2000,0,1059,31208
Alabama,Geneva County,2000,0,1061,25790
Alabama,Greene County,2000,0,1063,9946
Alabama,Hale County,2000,0,1065,18288
Alabama,Henry County,2000,0,1067,16344
Alabama,Houston County,2000,0,1069,88919
Alabama,Jackson County,2000,0,1071,54029
Alabama,Jefferson County,2000,1,1073,662214
Alabama,Lamar County,2000,0,1075,15905
Alabama,Lauderdale County,2000,0,1077,87982
Alabama,Lawrence County,2000,0,1079,34856
Alabama,Lee County,2000,0,1081,115511
Alabama,Limestone County,2000,0,1083,65930
Alabama,Lowndes County,2000,0,1085,13487
Alabama,Macon County,2000,0,1087,24075
Alabama,Madison County,2000,0,1089,277868
Alabama,Marengo County,2000,0,1091,22566
Alabama,Marion County,2000,0,1093,31149
Alabama,Marshall County,2000,0,1095,82333
Alabama,Mobile County,2000,2,1097,400061
Alabama,Monroe County,2000,0,1099,24281
Alabama,Montgomery County,2000,0,1101,223413
Alabama,Morgan County,2000,0,1103,111194
Alabama,Perry County,2000,0,1105,11808
Alabama,Pickens County,2000,0,1107,20904
Alabama,Pike County,2000,0,1109,29734
Alabama,Randolph County,2000,0,1111,22414
Alabama,Russell County,2000,0,1113,49692
Alabama,St. Clair County,2000,0,1115,65079
Alabama,Shelby County,2000,0,1117,144523
Alabama,Sumter County,2000,0,1119,14748
Alabama,Talladega County,2000,0,1121,80338
Alabama,Tallapoosa County,2000,0,1123,41743
Alabama,Tuscaloosa County,2000,1,1125,165191
Alabama,Walker County,2000,0,1127,70680
Alabama,Washington County,2000,0,1129,18112
Alabama,Wilcox County,2000,0,1131,12980
Alabama,Winston County,2000,0,1133,24882
Alaska,Anchorage Municipality,2000,1,2020,260586
Alaska,Bethel Census Area,2000,0,2050,16103
Alaska,Bristol Bay Borough,2000,0,2060,1230
Alaska,Dillingham Census Area,2000,0,2070,4922
Alaska,Fairbanks North Star Borough,2000,1,2090,82769
Alaska,Haines Borough,2000,0,2100,2397
Alaska,Juneau City and Borough,2000,0,2110,30668
Alaska,Kenai Peninsula Borough,2000,0,2122,49648
Alaska,Ketchikan Gateway Borough,2000,0,2130,13983
Alaska,Kodiak Island Borough,2000,0,2150,13966
Alaska,Matanuska-Susitna Borough,2000,0,2170,59848
Alaska,Nome Census Area,2000,0,2180,9171
Alaska,North Slope Borough,2000,0,2185,7369
Alaska,Northwest Arctic Borough,2000,0,2188,7219
Alaska,Sitka City and Borough,2000,0,2220,8833
Alaska,Southeast Fairbanks Census Area,2000,0,2240,6173
Alaska,Valdez-Cordova Census Area,2000,0,2261,10220
Alaska,Wade Hampton Census Area,2000,0,2270,7042
Alaska,Yukon-Koyukuk Census Area,2000,0,2290,6493
Arizona,Apache County,2000,0,4001,69516
Arizona,Cochise County,2000,0,4003,118028
Arizona,Coconino County,2000,0,4005,116717
Arizona,Gila County,2000,0,4007,51355
Arizona,Graham County,2000,0,4009,33541
Arizona,Greenlee County,2000,0,4011,8542
Arizona,La Paz County,2000,0,4012,19643
Arizona,Maricopa County,2000,1,4013,3097378
Arizona,Mohave County,2000,0,4015,156194
Arizona,Navajo County,2000,0,4017,97876
Arizona,Pima County,2000,0,4019,848521
Arizona,Pinal County,2000,1,4021,181283
Arizona,Santa Cruz County,2000,0,4023,38542
Arizona,Yavapai County,2000,0,4025,168886
Arizona,Yuma County,2000,0,4027,160675
Arkansas,Arkansas County,2000,0,5001,20672
Arkansas,Ashley County,2000,0,5003,24160
Arkansas,Baxter County,2000,0,5005,38465
Arkansas,Benton County,2000,1,5007,154791
Arkansas,Boone County,2000,0,5009,34051
Arkansas,Bradley County,2000,0,5011,12603
Arkansas,Calhoun County,2000,0,5013,5717
Arkansas,Carroll County,2000,0,5015,25411
Arkansas,Chicot County,2000,0,5017,14083
Arkansas,Clark County,2000,0,5019,23508
Arkansas,Clay County,2000,0,5021,17542
Arkansas,Cleburne County,2000,0,5023,24113
Arkansas,Cleveland County,2000,0,5025,8544
Arkansas,Columbia County,2000,0,5027,25564
Arkansas,Conway County,2000,0,5029,20321
Arkansas,Craighead County,2000,0,5031,82518
Arkansas,Crawford County,2000,0,5033,53376
Arkansas,Crittenden County,2000,0,5035,50976
Arkansas,Cross County,2000,0,5037,19476
Arkansas,Dallas County,2000,0,5039,9158
Arkansas,Desha County,2000,0,5041,15306
Arkansas,Drew County,2000,0,5043,18703
Arkansas,Faulkner County,2000,0,5045,86456
