state,county,year,cases,fips,size,prcp,avtemp,log.size,log.cases
Alabama,Autauga County,2000,0,1001,43872,959.2705024719238,18.10082697868347,4.642187433109418,0
Alabama,Baldwin County,2000,1,1003,141358,1019.4288143869173,19.67102224543943,5.150320391937952,0.3010299956639812
Alabama,Barbour County,2000,0,1005,29035,1005.5298515768612,18.07436923419728,4.462921830369343,0
Alabama,Bibb County,2000,0,1007,19936,993.697525516633,17.417446280038487,4.2996380249790755,0
Alabama,Blount County,2000,0,1009,51181,1178.8186126059675,16.345661366239508,4.709108767097066,0
Alabama,Bullock County,2000,0,1011,11604,1068.4640751591435,17.66637658484188,4.064607720130627,0
Alabama,Butler County,2000,0,1013,21313,1019.1419146993886,18.65225075431492,4.328644584943907,0
Alabama,Calhoun County,2000,0,1015,111342,1004.1204863757622,16.09575405353453,5.046659018130994,0
Alabama,Chambers County,2000,0,1017,36593,1042.9925873145628,16.42727481113391,4.563398015664174,0
Alabama,Cherokee County,2000,0,1019,24053,1146.2874416775173,15.551998551686605,4.381169251279146,0
Alabama,Chilton County,2000,0,1021,39781,1000.8149075594815,17.388358844410288,4.599675696058987,0
Alabama,Choctaw County,2000,0,1023,15850,961.9136521833657,18.349176713149912,4.20002926655377,0
Alabama,Clarke County,2000,0,1025,27833,932.0647051642923,18.746761007869946,4.444560019601275,0
Alabama,Clay County,2000,0,1027,14264,1131.406889512804,15.985289414723715,4.154241330167298,0
Alabama,Cleburne County,2000,0,1029,14156,1074.1503405624562,15.302320201745195,4.150940553965477,0
Alabama,Coffee County,2000,0,1031,43540,980.4404072664222,18.95800224615603,4.638888424705075,0
Alabama,Colbert County,2000,0,1033,55024,1105.7552785349417,16.21952703496912,4.740552158477938,0
Alabama,Conecuh County,2000,0,1035,14040,1063.018495686849,18.698115634918214,4.147367107793786,0
Alabama,Coosa County,2000,0,1037,11843,1047.7597677541335,16.9362562534421,4.073461729279835,0
Alabama,Covington County,2000,0,1039,37490,1022.1224361218905,18.860618616405286,4.57391544042155,0
Alabama,Crenshaw County,2000,0,1041,13696,989.5134524390811,18.464243956974574,4.136593747333078,0
Alabama,Cullman County,2000,0,1043,77580,1273.9190101967201,16.181072810748677,4.889749775264038,0
Alabama,Dale County,2000,0,1045,49068,962.7314304896763,18.997370883396695,4.69079835660196,0
Alabama,Dallas County,2000,0,1047,46181,957.130068766276,18.331038004557293,4.664463332863959,0
Alabama,DeKalb County,2000,0,1049,64638,1214.191378252222,14.67753022745115,4.810487910229379,0
Alabama,Elmore County,2000,1,1051,66230,992.035749719498,17.593159513270603,4.821054755046888,0.3010299956639812
Alabama,Escambia County,2000,0,1053,38402,1090.291016862199,19.008134236206878,4.584353843282767,0
Alabama,Etowah County,2000,0,1055,103313,1108.3521209716796,16.115329241752626,5.014154972759109,0
Alabama,Fayette County,2000,0,1057,18456,1104.1880045572916,16.471586079067656,4.266137581513037,0
Alabama,Franklin County,2000,0,1059,31208,1162.861203400985,16.294038482334305,4.494265937303735,0
Alabama,Geneva County,2000,0,1061,25790,1066.613882266774,18.870906403485467,4.411451342137937,0
Alabama,Greene County,2000,0,1063,9946,1036.7769478934151,17.76964283897763,3.9976484548962063,0
Alabama,Hale County,2000,0,1065,18288,1033.473158023232,18.08624859860069,4.262166213051207,0
Alabama,Henry County,2000,0,1067,16344,940.9891446741616,18.794930853494783,4.2133583536243915,0
Alabama,Houston County,2000,0,1069,88919,980.0964728860295,19.459013635971967,4.948994569896004,0
Alabama,Jackson County,2000,0,1071,54029,1380.2669476764959,14.865046751208421,4.732626929439974,0
Alabama,Jefferson County,2000,1,1073,662214,1122.9928449799743,17.13653315773493,5.820998358020513,0.3010299956639812
Alabama,Lamar County,2000,0,1075,15905,1044.51083984375,16.719597354688144,4.201533673443382,0
Alabama,Lauderdale County,2000,0,1077,87982,1106.9537253639915,15.9259389964017,4.944393830101533,0
Alabama,Lawrence County,2000,0,1079,34856,1155.5346584875606,16.43308695080211,4.542277546927697,0
Alabama,Lee County,2000,0,1081,115511,1039.2651103626597,17.268195173957132,5.062623343637927,0
Alabama,Limestone County,2000,0,1083,65930,1182.7243367513022,15.945319451226128,4.819083075743703,0
Alabama,Lowndes County,2000,0,1085,13487,967.6132988683956,18.50157403454338,4.129915357504422,0
Alabama,Macon County,2000,0,1087,24075,1000.6525018865412,17.56185928258029,4.381566295796572,0
Alabama,Madison County,2000,0,1089,277868,1260.0958370782632,15.685259945624697,5.443838535177437,0
Alabama,Marengo County,2000,0,1091,22566,958.1432445629223,18.256963137033825,4.353454583806043,0
Alabama,Marion County,2000,0,1093,31149,1129.47706155216,16.122484814886953,4.493444108733453,0
Alabama,Marshall County,2000,0,1095,82333,1254.9924226459705,16.034380189996018,4.915573940259189,0
Alabama,Mobile County,2000,2,1097,400061,998.3773810977027,19.517945652916318,5.602126216186935,0.47712125471966244
Alabama,Monroe County,2000,0,1099,24281,958.6220001220703,18.653620229448592,4.385266568957531,0
Alabama,Montgomery County,2000,0,1101,223413,939.4126718455348,18.291718302101923,5.349108440328387,0
Alabama,Morgan County,2000,0,1103,111194,1183.6457921808417,16.27785716273568,5.046081353458328,0
Alabama,Perry County,2000,0,1105,11808,1002.4889215207568,17.84020294862635,4.072176344478966,0
Alabama,Pickens County,2000,0,1107,20904,1071.0528214977633,17.374046048810406,4.320229396719269,0
Alabama,Pike County,2000,0,1109,29734,940.9209588857798,18.38423673923199,4.473253337091735,0
Alabama,Randolph County,2000,0,1111,22414,1042.1598782009548,15.674316865426523,4.3505193675975375,0
Alabama,Russell County,2000,0,1113,49692,975.6905510870965,17.692953172620836,4.696286476550003,0
Alabama,St. Clair County,2000,0,1115,65079,1093.2401078073601,16.41994649987472,4.813440870973202,0
Alabama,Shelby County,2000,0,1117,144523,1043.3147451466527,17.342265392171925,5.159936968049064,0
Alabama,Sumter County,2000,0,1119,14748,1007.1817076148056,17.89505867066422,4.168733128934079,0
Alabama,Talladega County,2000,0,1121,80338,1020.0385210955584,16.640763494703506,4.90492101584754,0
Alabama,Tallapoosa County,2000,0,1123,41743,1093.0554413377192,16.63367909715887,4.62058365787334,0
Alabama,Tuscaloosa County,2000,1,1125,165191,1102.5057385896382,17.372330715781764,5.217986382228846,0.3010299956639812
Alabama,Walker County,2000,0,1127,70680,1172.215329029521,16.58719877336846,4.849296540834726,0
Alabama,Washington County,2000,0,1129,18112,1015.3703944386999,18.90885557536206,4.257966409508177,0
Alabama,Wilcox County,2000,0,1131,12980,929.5458957045826,18.440559088294187,4.11327469246435,0
Alabama,Winston County,2000,0,1133,24882,1209.4354184468586,16.155419280131657,4.395885285747662,0
Arizona,Apache County,2000,0,4001,69516,293.590776186992,11.20327164812018,4.842084774546682,0
Arizona,Cochise County,2000,0,4003,118028,482.4558539636356,16.693582889823432,5.07198504800935,0
Arizona,Coconino County,2000,0,4005,116717,316.95464788481246,12.218878282623928,5.067134116272392,0
Arizona,Gila County,2000,0,4007,51355,473.8491171189569,15.573115406781652,4.710582733555443,0
Arizona,Graham County,2000,0,4009,33541,397.7070931813803,16.33843839024923,4.525576006630465,0
Arizona,Greenlee County,2000,0,4011,8542,435.09467721754504,13.841884238104667,3.9315595670908055,0
Arizona,La Paz County,2000,0,4012,19643,98.81143997383415,22.39507026851457,4.293207816645862,0
Arizona,Maricopa County,2000,1,4013,3097378,225.52513004005178,21.842505732965293,6.490994209327279,0.3010299956639812
Arizona,Mohave County,2000,0,4015,156194,211.19001510046593,17.456693695041945,5.1936643469744475,0
Arizona,Navajo County,2000,0,4017,97876,254.88512122246527,12.404083941572456,4.990676212279418,0
Arizona,Pima County,2000,0,4019,848521,333.9219735935109,20.464227071501735,5.928662595117173,0
Arizona,Pinal County,2000,1,4021,181283,291.4720417570534,20.9209913585497,5.2583570795927175,0.3010299956639812
Arizona,Santa Cruz County,2000,0,4023,38542,606.582011132267,16.773166427399193,4.5859342470715685,0
Arizona,Yavapai County,2000,0,4025,168886,399.1518204360712,15.72923713355768,5.227593649720511,0
Arizona,Yuma County,2000,0,4027,160675,73.28057107586547,22.861295799313464,5.205948308582437,0
Arkansas,Arkansas County,2000,0,5001,20672,1037.429931222576,17.169482962725915,4.3153824963149905,0
Arkansas,Ashley County,2000,0,5003,24160,1336.1353447492731,17.425914084264473,4.383096929949094,0
Arkansas,Baxter County,2000,0,5005,38465,995.6314645162443,14.61855084721635,4.585065736773767,0
Arkansas,Benton County,2000,1,5007,154791,1133.191627564469,14.105103345421272,5.189745705933663,0.3010299956639812
Arkansas,Boone County,2000,0,5009,34051,985.4480031866776,14.357735533463327,4.5321298706718505,0
Arkansas,Bradley County,2000,0,5011,12603,1344.633662923177,16.982706536187067,4.1004739362576546,0
Arkansas,Calhoun County,2000,0,5013,5717,1329.1913113064236,16.790085474650066,3.7571681922142726,0
Arkansas,Carroll County,2000,0,5015,25411,1130.039046514602,14.349528267270042,4.405021756193085,0
Arkansas,Chicot County,2000,0,5017,14083,1299.9046872456868,17.91904826958974,4.148695179285065,0
Arkansas,Clark County,2000,0,5019,23508,1263.5822967044892,16.726019162980336,4.3712156820423615,0
Arkansas,Clay County,2000,0,5021,17542,1034.6533368428547,15.049322505791983,4.244079106672388,0
Arkansas,Cleburne County,2000,0,5023,24113,1036.052210608194,15.480127378951671,4.382251246146584,0
Arkansas,Cleveland County,2000,0,5025,8544,1249.6937730577256,16.81048526763916,3.9316612396844812,0
Arkansas,Columbia County,2000,0,5027,25564,1495.6388436376521,17.563398226172524,4.4076288088765185,0
Arkansas,Conway County,2000,0,5029,20321,1064.659997832909,15.720408278904603,4.307945075845931,0
Arkansas,Craighead County,2000,0,5031,82518,1006.8941327560046,15.753054043478217,4.91654869337419,0
Arkansas,Crawford County,2000,0,5033,53376,1237.2214139687894,15.421843037460789,4.7273460246216255,0
Arkansas,Crittenden County,2000,0,5035,50976,992.7974754872948,16.274048381381565,4.707365754121038,0
Arkansas,Cross County,2000,0,5037,19476,1012.7424451251362,15.94206835502802,4.289499765873857,0
Arkansas,Dallas County,2000,0,5039,9158,1262.3138029679008,16.638232272604238,3.9618006391916785,0
Arkansas,Desha County,2000,0,5041,15306,1158.9362386067708,17.333528583885258,4.1848617089934335,0
Arkansas,Drew County,2000,0,5043,18703,1285.9666649070946,17.316442987940334,4.271911273859896,0
Arkansas,Faulkner County,2000,0,5045,86456,1052.8530883789062,16.096768398874815,4.936795138459796,0
Arkansas,Franklin County,2000,0,5047,17747,1165.0682043868503,15.672280997372745,4.249124949303172,0
Arkansas,Fulton County,2000,0,5049,11655,962.496706334556,14.387533013413591,4.066512277856596,0
Arkansas,Garland County,2000,2,5051,88350,1153.9114599135316,16.407086224231904,4.946206553842783,0.47712125471966244
Arkansas,Grant County,2000,0,5053,16488,1083.569561298077,16.769881447592933,4.2171679787711565,0
Arkansas,Greene County,2000,0,5055,37504,1044.9644193427507,15.429873122725375,4.574077590001978,0
Arkansas,Hempstead County,2000,0,5057,23560,1390.210990679146,16.980684865819345,4.3721752861150645,0
Arkansas,Hot Spring County,2000,0,5059,30383,1130.4605384744623,16.811016533964423,4.48263065363212,0
Arkansas,Howard County,2000,0,5061,14252,1390.457023458278,16.3975630009428,4.153875813678978,0
Arkansas,Independence County,2000,0,5063,34270,987.8473372920866,15.637311143259849,4.534914104429867,0
Arkansas,Izard County,2000,0,5065,13276,1054.5331781560724,14.965098955414511,4.123067243736567,0
Arkansas,Jackson County,2000,0,5067,18351,966.7114131761634,15.958381901616635,4.263659735217465,0
Arkansas,Jefferson County,2000,0,5069,84218,1071.6447080724379,17.07095004530514,4.925404923628092,0
Arkansas,Johnson County,2000,0,5071,22799,1147.3459442440826,15.259272292108818,4.35791579857913,0
Arkansas,Lafayette County,2000,0,5073,8527,1499.6929361979167,17.567556686401367,3.9307962629833004,0
Arkansas,Lawrence County,2000,0,5075,17679,1129.2234139791349,15.445743921326429,4.247457695814812,0
Arkansas,Lee County,2000,0,5077,12528,930.3663323296441,16.55777269999186,4.0978817447138685,0
Arkansas,Lincoln County,2000,0,5079,14474,1191.396557336566,17.181106808541834,4.160588568290034,0
Arkansas,Little River County,2000,0,5081,13610,1444.9698736728767,17.426798600416916,4.133858125203335,0
Arkansas,Logan County,2000,0,5083,22504,1011.2322720614346,16.231031036376955,4.352259719157145,0
Arkansas,Lonoke County,2000,0,5085,53124,981.4300839720654,16.74661299761604,4.725290768026473,0
Arkansas,Madison County,2000,0,5087,14296,1172.86818222172,14.4582785771898,4.155214539497588,0
Arkansas,Marion County,2000,0,5089,16156,969.4085250051398,14.598322346335964,4.20833384449795,0
Arkansas,Miller County,2000,1,5091,40434,1465.0898046400941,17.586746326928,4.606746706755346,0.3010299956639812
Arkansas,Mississippi County,2000,0,5093,51827,1042.6091442108154,15.95371226221323,4.714556070480403,0
Arkansas,Monroe County,2000,0,5095,10179,974.9172426421067,16.621981763291632,4.00770511436478,0
Arkansas,Montgomery County,2000,0,5097,9270,1278.435307055448,15.844239690662485,3.967079734144497,0
Arkansas,Nevada County,2000,0,5099,9920,1370.8886075583837,17.134058265275854,3.9965116721541785,0
Arkansas,Newton County,2000,1,5101,8647,1101.023024102219,14.226871835083521,3.9368654589756225,0.3010299956639812
Arkansas,Ouachita County,2000,0,5103,28685,1285.7643746681583,17.04074829990424,4.45765485421846,0
Arkansas,Perry County,2000,0,5105,10236,1057.1893607897637,16.255579129243507,4.010130277215148,0
Arkansas,Phillips County,2000,0,5107,26268,966.0166658968539,16.984326182184994,4.419427007615557,0
Arkansas,Pike County,2000,0,5109,11321,1308.221643468836,16.201248682462253,4.053884790394692,0
Arkansas,Poinsett County,2000,0,5111,25617,978.0125009042246,15.911489186463532,4.408528268276236,0
Arkansas,Polk County,2000,0,5113,20262,1446.117837890625,15.459249336242676,4.306682311019055,0
Arkansas,Pope County,2000,0,5115,54500,1068.103793966359,15.355056022775583,4.7363965022766426,0
Arkansas,Prairie County,2000,0,5117,9504,950.1551034109933,16.595610521277603,3.9779064276371185,0
Arkansas,Pulaski County,2000,0,5119,361905,1021.7034353008708,16.789575038065436,5.558594583266832,0
Arkansas,Randolph County,2000,0,5121,18163,1061.5583902994792,14.687856816697394,4.259187582942805,0
Arkansas,St. Francis County,2000,0,5123,29284,997.1618468645707,16.252735813844552,4.466630398181393,0
Arkansas,Saline County,2000,1,5125,83940,1073.7198138370693,16.69843497231742,4.923968964875471,0.3010299956639812
Arkansas,Scott County,2000,0,5127,10991,1169.3999257482085,15.811622175058924,4.041037207867029,0
Arkansas,Searcy County,2000,0,5129,8273,1009.7878757052952,14.723700321081912,3.917663024327375,0
Arkansas,Sebastian County,2000,0,5131,115518,1073.519274455745,16.292947652863294,5.0626496612116885,0
Arkansas,Sevier County,2000,0,5133,15759,1421.672095010447,16.738412346950795,4.197528655522771,0
Arkansas,Sharp County,2000,0,5135,17151,1026.1202241704705,14.901912442753824,4.234289446933935,0
Arkansas,Stone County,2000,0,5137,11522,1024.4632037934803,15.090312980470204,4.061527870890508,0
Arkansas,Union County,2000,0,5139,45572,1353.2407605401402,17.518649476149985,4.658698088707615,0
Arkansas,Van Buren County,2000,0,5141,16211,1045.5487579075636,14.9298484177716,4.20980980578538,0
Arkansas,Washington County,2000,0,5143,158806,1228.0697224934895,14.177972522046831,5.200866906892497,0
Arkansas,White County,2000,1,5145,67405,982.7883647843903,15.896516612931794,4.828692113031897,0.3010299956639812
Arkansas,Woodruff County,2000,0,5147,8690,951.9613394388339,16.16634243290599,3.9390197764486663,0
