state,county,year,cases,fips
Alabama,Autauga County,2000,0,1001
Alabama,Baldwin County,2000,1,1003
Alabama,Barbour County,2000,0,1005
Alabama,Bibb County,2000,0,1007
Alabama,Blount County,2000,0,1009
Alabama,Bullock County,2000,0,1011
Alabama,Butler County,2000,0,1013
Alabama,Calhoun County,2000,0,1015
Alabama,Chambers County,2000,0,1017
Alabama,Cherokee County,2000,0,1019
Alabama,Chilton County,2000,0,1021
Alabama,Choctaw County,2000,0,1023
Alabama,Clarke County,2000,0,1025
Alabama,Clay County,2000,0,1027
Alabama,Cleburne County,2000,0,1029
Alabama,Coffee County,2000,0,1031
Alabama,Colbert County,2000,0,1033
Alabama,Conecuh County,2000,0,1035
Alabama,Coosa County,2000,0,1037
Alabama,Covington County,2000,0,1039
Alabama,Crenshaw County,2000,0,1041
Alabama,Cullman County,2000,0,1043
Alabama,Dale County,2000,0,1045
Alabama,Dallas County,2000,0,1047
Alabama,DeKalb County,2000,0,1049
Alabama,Elmore County,2000,1,1051
Alabama,Escambia County,2000,0,1053
Alabama,Etowah County,2000,0,1055
Alabama,Fayette County,2000,0,1057
Alabama,Franklin County,2000,0,1059
Alabama,Geneva County,2000,0,1061
Alabama,Greene County,2000,0,1063
Alabama,Hale County,2000,0,1065
Alabama,Henry County,2000,0,1067
Alabama,Houston County,2000,0,1069
Alabama,Jackson County,2000,0,1071
Alabama,Jefferson County,2000,1,1073
Alabama,Lamar County,2000,0,1075
Alabama,Lauderdale County,2000,0,1077
Alabama,Lawrence County,2000,0,1079
Alabama,Lee County,2000,0,1081
Alabama,Limestone County,2000,0,1083
Alabama,Lowndes County,2000,0,1085
Alabama,Macon County,2000,0,1087
Alabama,Madison County,2000,0,1089
Alabama,Marengo County,2000,0,1091
Alabama,Marion County,2000,0,1093
Alabama,Marshall County,2000,0,1095
Alabama,Mobile County,2000,2,1097
Alabama,Monroe County,2000,0,1099
Alabama,Montgomery County,2000,0,1101
Alabama,Morgan County,2000,0,1103
Alabama,Perry County,2000,0,1105
Alabama,Pickens County,2000,0,1107
Alabama,Pike County,2000,0,1109
Alabama,Randolph County,2000,0,1111
Alabama,Russell County,2000,0,1113
Alabama,St. Clair County,2000,0,1115
Alabama,Shelby County,2000,0,1117
Alabama,Sumter County,2000,0,1119
Alabama,Talladega County,2000,0,1121
Alabama,Tallapoosa County,2000,0,1123
Alabama,Tuscaloosa County,2000,1,1125
Alabama,Walker County,2000,0,1127
Alabama,Washington County,2000,0,1129
Alabama,Wilcox County,2000,0,1131
Alabama,Winston County,2000,0,1133
Alabama,Alabama,2000,0,1999
Alaska,Aleutians East Borough,2000,0,2013
Alaska,Aleutians West Census Area,2000,0,2016
Alaska,Anchorage Municipality,2000,1,2020
Alaska,Bethel Census Area,2000,0,2050
Alaska,Bristol Bay Borough,2000,0,2060
Alaska,Denali Borough,2000,0,2068
Alaska,Dillingham Census Area,2000,0,2070
Alaska,Fairbanks North Star Borough,2000,1,2090
Alaska,Haines Borough,2000,0,2100
Alaska,Hoonah-Angoon Census Area,2000,0,2105
Alaska,Juneau City and Borough,2000,0,2110
Alaska,Kenai Peninsula Borough,2000,0,2122
Alaska,Ketchikan Gateway Borough,2000,0,2130
Alaska,Kodiak Island Borough,2000,0,2150
Alaska,Lake and Peninsula Borough,2000,0,2164
Alaska,Matanuska-Susitna Borough,2000,0,2170
Alaska,Nome Census Area,2000,0,2180
Alaska,North Slope Borough,2000,0,2185
Alaska,Northwest Arctic Borough,2000,0,2188
Alaska,Petersburg Census Area,2000,0,2195
Alaska,Prince of Wales-Hyder Census Area,2000,0,2198
Alaska,Sitka City and Borough,2000,0,2220
Alaska,Skagway Municipality,2000,0,2230
Alaska,Southeast Fairbanks Census Area,2000,0,2240
Alaska,Valdez-Cordova Census Area,2000,0,2261
Alaska,Wade Hampton Census Area,2000,0,2270
Alaska,Wrangell City and Borough,2000,0,2275
Alaska,Yakutat City and Borough,2000,0,2282
Alaska,Yukon-Koyukuk Census Area,2000,0,2290
Alaska,Alaska,2000,0,2999
Arizona,Apache County,2000,0,4001
Arizona,Cochise County,2000,0,4003
Arizona,Coconino County,2000,0,4005
Arizona,Gila County,2000,0,4007
Arizona,Graham County,2000,0,4009
Arizona,Greenlee County,2000,0,4011
Arizona,La Paz County,2000,0,4012
Arizona,Maricopa County,2000,1,4013
Arizona,Mohave County,2000,0,4015
Arizona,Navajo County,2000,0,4017
Arizona,Pima County,2000,0,4019
Arizona,Pinal County,2000,1,4021
Arizona,Santa Cruz County,2000,0,4023
Arizona,Yavapai County,2000,0,4025
Arizona,Yuma County,2000,0,4027
Arizona,Arizona,2000,0,4999
Arkansas,Arkansas County,2000,0,5001
Arkansas,Ashley County,2000,0,5003
Arkansas,Baxter County,2000,0,5005
Arkansas,Benton County,2000,1,5007
Arkansas,Boone County,2000,0,5009
Arkansas,Bradley County,2000,0,5011
Arkansas,Calhoun County,2000,0,5013
Arkansas,Carroll County,2000,0,5015
Arkansas,Chicot County,2000,0,5017
Arkansas,Clark County,2000,0,5019
Arkansas,Clay County,2000,0,5021
Arkansas,Cleburne County,2000,0,5023
Arkansas,Cleveland County,2000,0,5025
Arkansas,Columbia County,2000,0,5027
Arkansas,Conway County,2000,0,5029
Arkansas,Craighead County,2000,0,5031
Arkansas,Crawford County,2000,0,5033
Arkansas,Crittenden County,2000,0,5035
Arkansas,Cross County,2000,0,5037
Arkansas,Dallas County,2000,0,5039
Arkansas,Desha County,2000,0,5041
Arkansas,Drew County,2000,0,5043
Arkansas,Faulkner County,2000,0,5045
Arkansas,Franklin County,2000,0,5047
Arkansas,Fulton County,2000,0,5049
Arkansas,Garland County,2000,2,5051
Arkansas,Grant County,2000,0,5053
Arkansas,Greene County,2000,0,5055
Arkansas,Hempstead County,2000,0,5057
Arkansas,Hot Spring County,2000,0,5059
Arkansas,Howard County,2000,0,5061
Arkansas,Independence County,2000,0,5063
Arkansas,Izard County,2000,0,5065
Arkansas,Jackson County,2000,0,5067
Arkansas,Jefferson County,2000,0,5069
Arkansas,Johnson County,2000,0,5071
Arkansas,Lafayette County,2000,0,5073
Arkansas,Lawrence County,2000,0,5075
Arkansas,Lee County,2000,0,5077
Arkansas,Lincoln County,2000,0,5079
Arkansas,Little River County,2000,0,5081
Arkansas,Logan County,2000,0,5083
Arkansas,Lonoke County,2000,0,5085
Arkansas,Madison County,2000,0,5087
Arkansas,Marion County,2000,0,5089
Arkansas,Miller County,2000,1,5091
Arkansas,Mississippi County,2000,0,5093
Arkansas,Monroe County,2000,0,5095
Arkansas,Montgomery County,2000,0,5097
Arkansas,Nevada County,2000,0,5099
Arkansas,Newton County,2000,1,5101
Arkansas,Ouachita County,2000,0,5103
Arkansas,Perry County,2000,0,5105
Arkansas,Phillips County,2000,0,5107
Arkansas,Pike County,2000,0,5109
Arkansas,Poinsett County,2000,0,5111
Arkansas,Polk County,2000,0,5113
Arkansas,Pope County,2000,0,5115
Arkansas,Prairie County,2000,0,5117
Arkansas,Pulaski County,2000,0,5119
Arkansas,Randolph County,2000,0,5121
Arkansas,St. Francis County,2000,0,5123
Arkansas,Saline County,2000,1,5125
Arkansas,Scott County,2000,0,5127
Arkansas,Searcy County,2000,0,5129
Arkansas,Sebastian County,2000,0,5131
Arkansas,Sevier County,2000,0,5133
Arkansas,Sharp County,2000,0,5135
Arkansas,Stone County,2000,0,5137
Arkansas,Union County,2000,0,5139
Arkansas,Van Buren County,2000,0,5141
Arkansas,Washington County,2000,0,5143
Arkansas,White County,2000,1,5145
Arkansas,Woodruff County,2000,0,5147
Arkansas,Yell County,2000,0,5149
Arkansas,Arkansas,2000,0,5999
California,Alameda County,2000,4,6001
California,Alpine County,2000,0,6003
California,Amador County,2000,0,6005
California,Butte County,2000,3,6007
California,Calaveras County,2000,1,6009
California,Colusa County,2000,0,6011
California,Contra Costa County,2000,1,6013
California,Del Norte County,2000,0,6015
California,El Dorado County,2000,0,6017
California,Fresno County,2000,1,6019
California,Glenn County,2000,1,6021
California,Humboldt County,2000,10,6023
California,Imperial County,2000,0,6025
California,Inyo County,2000,0,6027
California,Kern County,2000,2,6029
