state,county,year,cases,fips,size,prcp,avtemp,log.size,log.cases
Florida,Jefferson County,2009,0,12065,14010,1588.2479497736151,19.493665326725353,4.146438135285774,0
Michigan,Luce County,2001,0,26095,7080,963.2395317526425,6.189179412056418,3.850033257689769,0
Alabama,Conecuh County,2000,0,1035,14040,1063.018495686849,18.698115634918214,4.147367107793786,0
Tennessee,Henderson County,2008,0,47077,26981,1634.539621860166,14.677297978461544,4.431058041942025,0
Ohio,Auglaize County,2009,0,39011,46699,793.2775889429553,10.034550929891653,4.669307580798836,0
Minnesota,Kittson County,2007,0,27069,4482,647.7681903168185,3.610857219552275,3.6514718521990424,0
Texas,Moore County,2008,0,48341,20200,498.9467114001721,13.885366866638611,4.3053513694466234,0
Nebraska,Nance County,2001,0,31125,3991,613.1053113937378,10.750212207436562,3.6010817277840235,0
California,Amador County,2003,0,6005,36860,806.7655565049913,14.569434616300795,4.566555330883055,0
Missouri,Oregon County,2008,0,29149,10324,1486.9016150841346,12.961040694896992,4.013847995871831,0
Nebraska,Keya Paha County,2001,0,31103,961,604.7125619741587,9.489762844183506,2.9827233876685453,0
Louisiana,Terrebonne Parish,2002,0,22109,104923,1719.9304153442383,20.557598423957824,5.020870699615792,0
Kentucky,Christian County,2004,0,21047,77737,1363.2109151017776,14.581918935163305,4.8906277764729476,0
Kansas,Pawnee County,2009,0,20145,6206,697.4005179569639,12.199853066740365,3.792811771248147,0
Georgia,Crawford County,2001,0,13079,12446,1106.142542952198,17.446165278806525,4.0950297966484515,0
Missouri,Nodaway County,2003,2,29147,21936,727.0980013333834,10.620114803314209,4.341157437445437,0.47712125471966244
Colorado,Crowley County,2001,0,8025,5681,297.10079931640627,11.916980979919433,3.7544247892772584,0
Minnesota,Lac qui Parle County,2002,0,27073,7842,560.3897753628818,7.1191575310447,3.894426837964188,0
New Mexico,Bernalillo County,2004,1,35001,594644,396.30807413519386,11.73030900700207,5.7742570411794025,0.3010299956639812
Mississippi,Sunflower County,2007,0,28133,30962,1100.8327451219745,18.360474979176242,4.490829006303808,0
Minnesota,Todd County,2005,4,27153,24038,851.0179766700381,6.4058127630324595,4.3808983308391545,0.6989700043360189
Arizona,La Paz County,2002,0,4012,19346,42.34665107876295,21.917077122719636,4.286591183437326,0
Iowa,Johnson County,2000,2,19103,111481,877.5277864155016,9.829235117059005,5.0472008557403525,0.47712125471966244
Georgia,Quitman County,2005,0,13239,2599,1421.6320007324218,18.363683414459228,3.4148062795010126,0
Oregon,Douglas County,2009,2,41019,103205,1076.5647636884069,10.384423365471873,5.013700738180802,0.47712125471966244
Tennessee,Hamilton County,2004,0,47065,319905,1614.859666612413,15.194361548953585,5.505021028003581,0
Virginia,Poquoson city,2009,1,51735,11794,1560.560009765625,15.561958122253419,4.071661123441788,0.3010299956639812
Vermont,Franklin County,2008,4,50011,47985,1134.3122324262347,6.871661105326244,4.681105499139789,0.6989700043360189
Montana,Wibaux County,2008,0,30109,872,334.7866206728179,5.856994862392031,2.940516484932567,0
Missouri,Madison County,2002,0,29123,11839,1495.931316174959,12.983844907660233,4.073315020560628,0
Tennessee,Rhea County,2003,0,47143,29178,1960.0446472167969,13.676823667117528,4.465055519951821,0
Missouri,Clinton County,2000,0,29049,19031,906.3276084786031,11.720583332118704,4.279461609257673,0
Texas,Brown County,2000,0,48049,37713,718.9729676246643,19.065455377101898,4.576491081109501,0
California,San Luis Obispo County,2000,1,6079,247878,471.4803664044636,15.218486357510574,5.394237983393133,0.3010299956639812
Minnesota,Marshall County,2009,0,27089,9184,566.7412585372444,2.92284826962453,3.963031875053898,0
Illinois,Cass County,2004,0,17017,13593,966.313225530809,11.235524162169426,4.133315316898848,0
Iowa,Henry County,2008,0,19087,20067,1232.9626988002233,9.728386243184408,4.302482450672295,0
Texas,Bastrop County,2004,1,48021,67559,1204.5587955597907,20.11530602362848,4.829683212573097,0.3010299956639812
Georgia,Screven County,2006,0,13251,15024,890.1810866646144,18.94008609522944,4.176785574922036,0
North Carolina,Madison County,2005,1,37115,19973,1114.1830151701627,12.117658092551036,4.300443302006029,0.3010299956639812
New York,Schuyler County,2007,1,36097,18923,917.3888840448288,7.791447783273364,4.276989989368231,0.3010299956639812
Nebraska,Garfield County,2005,0,31071,1784,701.4407083530618,9.724338415897254,3.2513948500401044,0
Texas,Hidalgo County,2004,2,48215,646523,689.7087356709989,23.543461844185803,5.810583979479996,0.47712125471966244
Minnesota,Wilkin County,2005,0,27167,6634,807.8460142666236,6.541635656715336,3.8217754671834636,0
Indiana,Clay County,2005,1,18021,26823,1217.1216994951355,12.12478697075034,4.428507349599955,0.3010299956639812
Georgia,Fulton County,2009,6,13121,1033756,1787.1958224139637,15.863597073132478,6.014418043246774,0.8450980400142568
Virginia,Lunenburg County,2002,0,51111,13081,1218.0379055649487,14.330748757319665,4.116640945661129,0
New York,Steuben County,2001,0,36101,98935,700.2545275418264,8.271545794774902,4.995349958107405,0
Alabama,Macon County,2009,0,1087,21789,1955.6695542768998,17.535184773531828,4.338237298881058,0
Kentucky,Harrison County,2000,0,21097,18025,1138.2070795694988,12.4009401400884,4.255875273391466,0
