fips,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop20104,pop2010,pop2011,pop2012,pop2013,pop2014
00000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01000,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,NA,NA,NA,NA,NA,NA
01001,43872,44434,45157,45762,46933,47870,49105,49834,50354,50756,NA,NA,NA,NA,NA,NA
01001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54571,54684,55275,55192,55136,55395
01003,141358,144988,148141,151707,156573,162564,168516,172815,176212,179878,NA,NA,NA,NA,NA,NA
01003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182265,183216,186694,190561,195443,200111
01005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27457,27336,27225,27169,26978,26887
01005,29035,29223,29289,29480,29458,29452,29556,29736,29836,29737,NA,NA,NA,NA,NA,NA
01007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22915,22879,22740,22634,22504,22506
01007,19936,20942,20983,21037,21208,21375,21285,21485,21589,21587,NA,NA,NA,NA,NA,NA
01009,51181,51999,52775,53726,54469,55035,55978,56866,57794,58345,NA,NA,NA,NA,NA,NA
01009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57322,57344,57694,57748,57720,57719
01011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10914,10886,10623,10589,10605,10764
01011,11604,11381,11261,11305,11038,10975,10739,10966,10921,10985,NA,NA,NA,NA,NA,NA
01013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20947,20945,20676,20409,20289,20296
01013,21313,21036,20607,20536,20476,20338,20231,20243,20171,19964,NA,NA,NA,NA,NA,NA
01015,111342,111019,110860,111378,111615,112081,112453,112808,113422,114081,NA,NA,NA,NA,NA,NA
01015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118572,118443,117760,117264,116547,115916
01017,36593,36281,35952,35626,35387,35173,34822,34731,34473,34320,NA,NA,NA,NA,NA,NA
01017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34215,34111,34004,34087,34175,34076
01019,24053,24078,24143,24159,24291,24268,24531,24474,24413,24448,NA,NA,NA,NA,NA,NA
01019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25989,25968,26073,26017,26115,26037
01021,39781,40030,40460,40776,41170,41510,41821,42362,42696,42971,NA,NA,NA,NA,NA,NA
01021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43643,43682,43749,43709,43836,43931
01023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13859,13849,13604,13559,13397,13323
01023,15850,15652,15342,15168,14894,14507,14389,14178,14083,13990,NA,NA,NA,NA,NA,NA
01025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25833,25782,25592,25168,25166,24945
01025,27833,27634,27273,27076,26944,26740,26729,26416,26264,26042,NA,NA,NA,NA,NA,NA
01027,14264,14257,14173,14066,13939,13847,13777,13772,13807,13640,NA,NA,NA,NA,NA,NA
01027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13932,13886,13677,13465,13506,13552
01029,14156,14196,14376,14378,14264,14276,14433,14692,14736,14759,NA,NA,NA,NA,NA,NA
01029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14972,14969,14967,14918,15017,15080
01031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49948,50179,50465,51217,50861,50909
01031,43540,43581,43759,44186,44712,45159,45639,46806,47773,48635,NA,NA,NA,NA,NA,NA
01033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54428,54505,54433,54473,54499,54543
01033,55024,54841,54594,54319,54427,54399,54462,54606,54626,54639,NA,NA,NA,NA,NA,NA
01035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13228,13219,13133,13005,12898,12670
01035,14040,13894,13699,13436,13238,13176,13309,13118,13038,12931,NA,NA,NA,NA,NA,NA
01037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11539,11757,11344,11181,11065,10886
01037,11843,11746,11539,11423,11156,10964,10857,10783,10724,10556,NA,NA,NA,NA,NA,NA
01039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37765,37784,38049,37809,37850,37914
01039,37490,36939,36661,36495,36322,36594,36717,36804,36646,36678,NA,NA,NA,NA,NA,NA
01041,13696,13700,13580,13562,13602,13541,13688,13741,13686,13781,NA,NA,NA,NA,NA,NA
01041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13906,13866,13914,13972,13960,13977
01043,77580,77661,77814,78110,78711,79382,79871,80602,81518,81778,NA,NA,NA,NA,NA,NA
01043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80406,80454,80455,80361,80783,81289
01045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50251,50340,50085,50310,49845,49484
01045,49068,49001,49070,49052,48691,48319,48038,48263,48400,48147,NA,NA,NA,NA,NA,NA
01047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43820,43836,43225,42839,42102,41711
01047,46181,45910,44944,44504,43927,43358,43050,42780,42627,41925,NA,NA,NA,NA,NA,NA
01049,64638,65519,65545,66009,66574,66920,67447,68275,68894,69380,NA,NA,NA,NA,NA,NA
01049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71109,71118,71361,70930,70894,71065
01051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79303,79444,79983,80392,80808,80977
01051,66230,67566,68822,70151,71276,73241,75511,77459,78125,79233,NA,NA,NA,NA,NA,NA
01053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38319,38312,38222,38048,37893,37733
01053,38402,38430,38319,38028,37888,37642,37572,37623,37532,37434,NA,NA,NA,NA,NA,NA
01055,103313,102914,102815,102698,102657,102602,102854,103216,103435,103645,NA,NA,NA,NA,NA,NA
01055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104430,104501,104310,104324,103962,103531
01057,18456,18341,18244,18145,17998,18012,17758,17538,17577,17371,NA,NA,NA,NA,NA,NA
01057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17241,17247,17082,16982,16909,16874
01059,31208,31112,30766,30684,30533,30673,30791,30627,31051,31091,NA,NA,NA,NA,NA,NA
01059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31704,31755,31757,31660,31542,31601
01061,25790,25528,25458,25481,25458,25584,25769,25717,25971,25961,NA,NA,NA,NA,NA,NA
01061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26790,26793,26829,27002,26742,26712
01063,9946,9864,9840,9697,9534,9472,9119,9100,9039,8829,NA,NA,NA,NA,NA,NA
01063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9045,8992,8902,8827,8718,8553
01065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15760,15727,15355,15390,15311,15184
01065,18288,18271,18047,18013,17876,17921,17901,18091,18083,17975,NA,NA,NA,NA,NA,NA
01067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17302,17287,17403,17248,17224,17190
01067,16344,16301,16326,16370,16432,16424,16555,16653,16623,16647,NA,NA,NA,NA,NA,NA
01069,88919,89437,89849,91147,92374,93614,95511,97392,98852,100085,NA,NA,NA,NA,NA,NA
01069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101547,101787,102423,103368,103626,104193
01071,54029,53972,53648,53483,53217,52923,52998,52796,52934,52838,NA,NA,NA,NA,NA,NA
01071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53227,53159,53244,53048,52944,52665
01073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658466,658302,657927,657953,659197,660793
01073,662214,661494,659766,660486,660016,659715,661447,661477,663394,665027,NA,NA,NA,NA,NA,NA
01075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14564,14499,14295,14255,14203,14086
01075,15905,15561,15317,15065,14828,14707,14456,14484,14341,14200,NA,NA,NA,NA,NA,NA
01077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92709,92726,92609,92694,92774,93096
01077,87982,87393,86872,86944,87203,87437,87992,88522,89200,89599,NA,NA,NA,NA,NA,NA
01079,34856,34836,34643,34393,34204,34293,33875,34151,34047,34106,NA,NA,NA,NA,NA,NA
01079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34339,34306,34044,33776,33571,33477
01081,115511,116759,118197,119631,121698,125350,128217,130791,133105,135883,NA,NA,NA,NA,NA,NA
01081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140247,140799,144146,148040,151708,154255
01083,65930,66643,67108,67685,68407,69792,71795,73909,76314,78572,NA,NA,NA,NA,NA,NA
01083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82782,83179,85580,87363,88924,90787
01085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11299,11285,11131,10864,10730,10580
01085,13487,13451,13459,13316,13033,12898,12711,12664,12592,12293,NA,NA,NA,NA,NA,NA
01087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21452,21542,21264,20470,19822,19425
01087,24075,23980,23651,23470,23041,22736,22544,22258,22195,21789,NA,NA,NA,NA,NA,NA
01089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334811,336239,339668,342868,347073,350299
01089,277868,281264,286037,290763,294814,300272,307509,313796,320914,327744,NA,NA,NA,NA,NA,NA
01091,22566,22179,22161,21930,21649,21405,21335,21265,21100,20943,NA,NA,NA,NA,NA,NA
01091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21027,20951,20711,20443,20228,20110
01093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30776,30810,30731,30516,30305,30271
01093,31149,30588,30235,29972,29712,29493,29585,29501,29378,29116,NA,NA,NA,NA,NA,NA
01095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93019,93170,93927,94303,94569,94636
01095,82333,82191,82922,83592,84161,85298,86760,87970,89200,90399,NA,NA,NA,NA,NA,NA
01097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412992,413432,413154,413955,414560,415123
01097,400061,400094,398417,397707,397521,398369,402199,405234,409132,411721,NA,NA,NA,NA,NA,NA
01099,24281,24004,23803,23532,23351,23169,22986,22759,22648,22389,NA,NA,NA,NA,NA,NA
01099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23068,23003,22797,22609,22188,21947
01101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229363,229795,231571,229426,227271,226189
01101,223413,222901,222936,222486,222085,222220,225333,225648,224525,224119,NA,NA,NA,NA,NA,NA
