fips,year,size
01001,pop2000,43872
01003,pop2000,141358
01005,pop2000,29035
01007,pop2000,19936
01009,pop2000,51181
01011,pop2000,11604
01013,pop2000,21313
01015,pop2000,111342
01017,pop2000,36593
01019,pop2000,24053
01021,pop2000,39781
01023,pop2000,15850
01025,pop2000,27833
01027,pop2000,14264
01029,pop2000,14156
01031,pop2000,43540
01033,pop2000,55024
01035,pop2000,14040
01037,pop2000,11843
01039,pop2000,37490
01041,pop2000,13696
01043,pop2000,77580
01045,pop2000,49068
01047,pop2000,46181
01049,pop2000,64638
01051,pop2000,66230
01053,pop2000,38402
01055,pop2000,103313
01057,pop2000,18456
01059,pop2000,31208
01061,pop2000,25790
01063,pop2000,9946
01065,pop2000,18288
01067,pop2000,16344
01069,pop2000,88919
01071,pop2000,54029
01073,pop2000,662214
01075,pop2000,15905
01077,pop2000,87982
01079,pop2000,34856
01081,pop2000,115511
01083,pop2000,65930
01085,pop2000,13487
01087,pop2000,24075
01089,pop2000,277868
01091,pop2000,22566
01093,pop2000,31149
01095,pop2000,82333
01097,pop2000,400061
01099,pop2000,24281
01101,pop2000,223413
01103,pop2000,111194
01105,pop2000,11808
01107,pop2000,20904
01109,pop2000,29734
01111,pop2000,22414
01113,pop2000,49692
01115,pop2000,65079
01117,pop2000,144523
01119,pop2000,14748
01121,pop2000,80338
01123,pop2000,41743
01125,pop2000,165191
01127,pop2000,70680
01129,pop2000,18112
01131,pop2000,12980
01133,pop2000,24882
02020,pop2000,260586
02050,pop2000,16103
02060,pop2000,1230
02070,pop2000,4922
02090,pop2000,82769
02100,pop2000,2397
02110,pop2000,30668
02122,pop2000,49648
02130,pop2000,13983
02150,pop2000,13966
02170,pop2000,59848
02180,pop2000,9171
02185,pop2000,7369
02188,pop2000,7219
02220,pop2000,8833
02240,pop2000,6173
02261,pop2000,10220
02270,pop2000,7042
02290,pop2000,6493
04001,pop2000,69516
04003,pop2000,118028
04005,pop2000,116717
04007,pop2000,51355
04009,pop2000,33541
04011,pop2000,8542
04012,pop2000,19643
04013,pop2000,3097378
04015,pop2000,156194
04017,pop2000,97876
04019,pop2000,848521
04021,pop2000,181283
04023,pop2000,38542
04025,pop2000,168886
04027,pop2000,160675
05001,pop2000,20672
05003,pop2000,24160
05005,pop2000,38465
05007,pop2000,154791
05009,pop2000,34051
05011,pop2000,12603
05013,pop2000,5717
05015,pop2000,25411
05017,pop2000,14083
05019,pop2000,23508
05021,pop2000,17542
05023,pop2000,24113
05025,pop2000,8544
05027,pop2000,25564
05029,pop2000,20321
05031,pop2000,82518
05033,pop2000,53376
05035,pop2000,50976
05037,pop2000,19476
05039,pop2000,9158
05041,pop2000,15306
05043,pop2000,18703
05045,pop2000,86456
05047,pop2000,17747
05049,pop2000,11655
05051,pop2000,88350
05053,pop2000,16488
05055,pop2000,37504
05057,pop2000,23560
05059,pop2000,30383
05061,pop2000,14252
05063,pop2000,34270
05065,pop2000,13276
