fips,year,size
1001,2000,43872
1003,2000,141358
1005,2000,29035
1007,2000,19936
1009,2000,51181
1011,2000,11604
1013,2000,21313
1015,2000,111342
1017,2000,36593
1019,2000,24053
1021,2000,39781
1023,2000,15850
1025,2000,27833
1027,2000,14264
1029,2000,14156
1031,2000,43540
1033,2000,55024
1035,2000,14040
1037,2000,11843
1039,2000,37490
1041,2000,13696
1043,2000,77580
1045,2000,49068
1047,2000,46181
1049,2000,64638
1051,2000,66230
1053,2000,38402
1055,2000,103313
1057,2000,18456
1059,2000,31208
1061,2000,25790
1063,2000,9946
1065,2000,18288
1067,2000,16344
1069,2000,88919
1071,2000,54029
1073,2000,662214
1075,2000,15905
1077,2000,87982
1079,2000,34856
1081,2000,115511
1083,2000,65930
1085,2000,13487
1087,2000,24075
1089,2000,277868
1091,2000,22566
1093,2000,31149
1095,2000,82333
1097,2000,400061
1099,2000,24281
1101,2000,223413
1103,2000,111194
1105,2000,11808
1107,2000,20904
1109,2000,29734
1111,2000,22414
1113,2000,49692
1115,2000,65079
1117,2000,144523
1119,2000,14748
1121,2000,80338
1123,2000,41743
1125,2000,165191
1127,2000,70680
1129,2000,18112
1131,2000,12980
1133,2000,24882
2020,2000,260586
2050,2000,16103
2060,2000,1230
2070,2000,4922
2090,2000,82769
2100,2000,2397
2110,2000,30668
2122,2000,49648
2130,2000,13983
2150,2000,13966
2170,2000,59848
2180,2000,9171
2185,2000,7369
2188,2000,7219
2220,2000,8833
2240,2000,6173
2261,2000,10220
2270,2000,7042
2290,2000,6493
4001,2000,69516
4003,2000,118028
4005,2000,116717
4007,2000,51355
4009,2000,33541
4011,2000,8542
4012,2000,19643
4013,2000,3097378
4015,2000,156194
4017,2000,97876
4019,2000,848521
4021,2000,181283
4023,2000,38542
4025,2000,168886
4027,2000,160675
5001,2000,20672
5003,2000,24160
5005,2000,38465
5007,2000,154791
5009,2000,34051
5011,2000,12603
5013,2000,5717
5015,2000,25411
5017,2000,14083
5019,2000,23508
5021,2000,17542
5023,2000,24113
5025,2000,8544
5027,2000,25564
5029,2000,20321
5031,2000,82518
5033,2000,53376
5035,2000,50976
5037,2000,19476
5039,2000,9158
5041,2000,15306
5043,2000,18703
5045,2000,86456
5047,2000,17747
5049,2000,11655
5051,2000,88350
5053,2000,16488
